시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,도로명주소,도로명상세주소,적재일시
B10,서울특별시교육청,광진구,교습소,20630,리틀모짜르트피아노교습소,20080401,20080401,개원,,,6,2,예능(대),예능(중),피아노 초급(바이엘),음악,피아노 초급(바이엘):110000/ 피아노 중급(체르니):120000/ 피아노 고급(체르니):130000,Y,N,143818,서울특별시 광진구 천호대로136길 43,1층일부(구의동),20200830005523
B10,서울특별시교육청,광진구,교습소,2000030485,린음악교습소,19890719,19890719,개원,,,53,5,예능(대),예능(중),초급피아노,음악,초급피아노:110000/ 중급피아노:120000/ 상급피아노:130000/ 고급피아노:140000/ 초급피아노2:100000/ 중급피아노2:110000/ 상급피아노2:120000/ 초급피아노:90000/ 드럼:90000/ 기타:90000/ 플릇:120000/ 드럼특강:10000/ 드럼특강:20000/ 기타:50000,N,,143867,서울특별시 광진구 자양로13길 87-1 ,(자양동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000019872,마법의콩해법논술교습소,20140411,20140411,개원,,,30,6,입시.검정 및 보습,보통교과,초등논술,보습·논술,,Y,N,143826,서울특별시 광진구 자양로26길 14,/ 1층 일부(구의동 251-154) (구의동/민어린이집),20200830005523
B10,서울특별시교육청,광진구,교습소,3000027742,막강수학교습소,20161213,20161213,개원,,,15,5,입시.검정 및 보습,보통교과,초등,보습,,Y,N,04941,서울특별시 광진구 용마산로8가길 63,/  1층일부 (중곡동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000035725,매스랩(MathLab)전문수학교습소,20191203,20191202,개원,,,10,5,입시.검정 및 보습,보통교과,수학 중등,보습,수학 중등:380000/ 수학 고등:450000,Y,N,05117,서울특별시 광진구 광나루로54길 38,/ 2층 201호 (구의동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000026613,매쏘드(Mathod)수학교습소,20160715,20160715,개원,,,12,4,입시.검정 및 보습,보통교과,,보습,,Y,N,04955,서울특별시 광진구 천호대로129길 48,/  202호 (구의동/ 정우리더스),20200830005523
B10,서울특별시교육청,광진구,교습소,12251,메아리피아노교습소,20051215,20051215,개원,,,24,5,예능(대),예능(중),,음악,,Y,N,143852,서울특별시 광진구 아차산로44길 36,101호 (자양동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000022562,멘토링수학교습소,20150305,20150305,개원,,,121,9,입시.검정 및 보습,보통교과,수학(초),보습,,Y,N,143888,서울특별시 광진구 영화사로3길 18,/ 1층 (중곡동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000032711,멘토스수학교습소,20181004,20181004,개원,,,21,3,입시.검정 및 보습,보통교과,,보습,,Y,N,05117,서울특별시 광진구 구의강변로 96,/ 305호 (구의동/ 현대아파트),20200830005523
B10,서울특별시교육청,광진구,교습소,3000034942,멜티쳐의모티브영어교습소,20190801,20190801,개원,,,10,5,입시.검정 및 보습,보통교과,,보습,,Y,N,05003,서울특별시 광진구 동일로34길 30,/ 1층/ 101호 (군자동),20200830005523
B10,서울특별시교육청,광진구,교습소,6333,명문주산교습소,20040909,20040909,개원,,,36,5,기타(대),기타(중),주산,주산,,Y,N,05090,서울특별시 광진구 능동로6길 22,/ 1층 일부 (자양동),20200830005523
B10,서울특별시교육청,광진구,교습소,2000030480,명성피아노교습소,19850415,19850415,개원,,,15,5,예능(대),예능(중),피아노 초급,음악,피아노 초급:110000/ 피아노 중급:120000/ 피아노 고급:130000,N,,143862,서울특별시 광진구 뚝섬로32길 4 ,(자양동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000011902,모네의정원미술교습소,20110826,20110826,개원,,,95,0,예능(대),예능(중),유치부~초등4학년,미술,,Y,N,143826,서울특별시 광진구 자양로22길 24,/ 3층 (구의동/상우빌딩),20200830005523
B10,서울특별시교육청,광진구,교습소,18540,모노아트미술교습소,20070509,20070502,개원,,,16,8,예능(대),예능(중),,미술,미술:80000/ 미술:125000/ 미술:90000/ 미술:140000,Y,N,143814,서울특별시 광진구 광나루로 635,현대아파트3단지상가 1층 102호(광장동),20200830005523
B10,서울특별시교육청,광진구,교습소,2000030887,모마미술교습소,19941214,19941214,개원,,,154,8,예능(대),예능(중),미술,미술,미술:120000/ 아동미술1:140000/ 아동미술2:90000/ 아동미술3:100000/ 입시미술1:150000/ 입시미술2:300000/ 입시미술3:450000/ 입시미술4:600000/ 입시미술5:750000/ 입시미술6:900000/ 입시미술7:130000/ 입시미술8:260000/ 입시미술9:390000/ 아동미술:140000/ 아동미술:90000/ 아동미술:100000/ 아동미술:110000/ 아동미술:150000/ 고학년/중·고:160000/ 고학년/중·고:120000/ 입시미술:150000/ 입시미술:300000/ 입시미술:450000,Y,N,143754,서울특별시 광진구 아차산로 522,/ 현대프라자상가 209호 (광장동/현대아파트),20200830005523
B10,서울특별시교육청,광진구,교습소,18430,모시모시일본어교습소,20070917,20070910,개원,,,6,3,국제화,외국어,일어회화,실용외국어(유아/초·중·고),,Y,N,143815,서울특별시 광진구 아차산로 498,2층 (광장동),20200830005523
B10,서울특별시교육청,광진구,교습소,2000030509,모짜르트음악교습소,20020424,20020424,개원,,,15,5,예능(대),예능(중),피아노(바이엘),음악,피아노(바이엘):90000/ 피아노(체르니):100000/ 피아노(체르니40):110000,Y,N,143843,서울특별시 광진구 뚝섬로32길 23,/ 2층 (자양동),20200830005523
B10,서울특별시교육청,광진구,교습소,24714,문성중국어교습소,20090723,20090722,개원,,,24,4,국제화,외국어,중국어기초A,실용외국어(유아/초·중·고),중국어기초A:80000/ 중국어기초B:120000/ 중국어기초C:180000/ 중국어중고급A:100000/ 중국어중고급B:150000/ 중국어중고급C:230000,Y,N,143901,서울특별시 광진구 긴고랑로7길 64,(1층) (중곡동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000037279,문쌔미국어교습소,20200803,20200803,개원,,,24,8,입시.검정 및 보습,보통교과,국어중등내신,보습,,Y,N,04974,서울특별시 광진구 광나루로 635,/ 현대아파트상가동 403호 (광장동/ 광장현대3단지아파트),20200830005523
B10,서울특별시교육청,광진구,교습소,3000023770,문제해결수학교습소,20150721,20150721,개원,,,8,4,입시.검정 및 보습,보통교과,중등수학,보습,,Y,N,05041,서울특별시 광진구 광나루로38길 73,/  1층 일부 (구의동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000023291,물고기미술교습소,20150526,20150526,개원,,,18,9,예능(대),예능(중),,미술,,Y,N,143822,서울특별시 광진구 구의강변로 87,/ 2층 (구의동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000030349,뮤엠구의영어교습소,20171117,20171117,개원,,,3,3,입시.검정 및 보습,보통교과,,보습,,Y,N,05041,서울특별시 광진구 자양로28길 88,/ 1층 일부 (구의동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000027729,뮤음악교습소,20161208,20161208,개원,20200321,20200502,60,6,예능(대),예능(중),피아노바이엘2,음악,,Y,N,04914,서울특별시 광진구 긴고랑로 42,/  2층 일부 (중곡동),20200830005523
